"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:05:03,3639643","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:03,3639910","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:05,7803707","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:05,7804378","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:05,7804729","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:06,0675728","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:06,0676306","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:06,0676570","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:07,7593006","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:07,7593689","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:07,7594051","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:07,8488473","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:07,8489127","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:07,8489476","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:17,3456818","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
